fed_id_a,fed_id_b,adjacency_type
35025,35069,land
35025,35085,land
35025,35098,land
35025,35115,land
35026,35111,land
35026,35117,land
35026,35120,land
35026,35122,land
35027,35034,land
35027,35054,land
35027,35055,land
35027,35059,land
35027,35083,land
35028,35090,land
35028,35118,land
35028,35119,land
35029,35030,land
35029,35031,land
35029,35062,land
35029,35065,land
35029,35105,land
35029,35122,land
35030,35062,land
35030,35064,land
35030,35105,land
35031,35041,land
35031,35065,land
35031,35113,land
35031,35122,land
35032,35034,land
35032,35036,land
35032,35037,land
35032,35038,land
35032,35039,land
35032,35072,land
35032,35083,land
35032,35115,land
35033,35115,land
35034,35072,land
35034,35083,land
35035,35040,land
35035,35073,land
35035,35074,land
35035,35084,land
35035,35086,land
35035,35099,land
35035,35121,land
35036,35037,land
35036,35038,land
35036,35039,land
35037,35038,land
35037,35072,land
35038,35039,land
35040,35046,land
35040,35051,land
35040,35074,land
35040,35086,land
35041,35106,land
35041,35113,land
35041,35120,land
35041,35122,land
35042,35059,land
35042,35085,land
35042,35090,land
35043,35067,land
35043,35082,land
35044,35045,land
35044,35073,land
35044,35091,land
35044,35104,land
35044,35108,land
35044,62001,land
35045,35107,land
35045,35108,land
35045,46002,land
35045,46006,land
35045,62001,land
35046,35051,land
35046,35052,land
35047,35068,land
35047,35069,land
35047,35089,land
35047,35106,land
35047,35113,land
35048,35049,land
35048,35050,land
35048,35114,land
35049,35050,land
35049,35083,land
35049,35085,land
35049,35114,land
35049,35115,land
35050,35115,land
35051,35052,land
35052,35102,land
35053,35054,land
35053,35055,land
35053,35059,land
35054,35055,land
35054,35059,land
35055,35059,land
35056,35057,land
35056,35058,land
35056,35087,land
35056,35121,land
35057,35058,land
35057,35087,land
35057,35089,land
35057,35092,land
35057,35094,land
35057,35095,land
35057,35106,land
35058,35089,land
35058,35121,land
35059,35083,land
35059,35085,land
35059,35090,land
35060,35063,land
35060,35066,land
35060,35075,land
35060,35076,land
35060,35115,land
35061,35062,land
35061,35063,land
35061,35064,land
35061,35065,land
35061,35066,land
35062,35064,land
35062,35065,land
35063,35064,land
35063,35066,land
35063,35075,land
35064,35075,land
35065,35066,land
35067,35080,land
35067,35082,land
35068,35069,land
35068,35121,land
35069,35098,land
35069,35121,land
35070,35071,land
35070,35101,land
35071,35072,land
35071,35101,land
35072,35101,land
35073,35084,land
35073,35104,land
35074,35086,land
35075,35076,land
35077,35081,land
35077,35088,land
35078,35116,land
35079,35080,land
35079,35081,land
35079,35082,land
35080,35081,land
35080,35088,land
35081,35088,land
35083,35085,land
35084,35098,land
35084,35099,land
35084,35104,land
35085,35115,land
35087,35094,land
35087,35116,land
35087,35121,land
35088,35102,land
35089,35106,land
35090,35118,land
35091,35104,land
35091,35108,land
35092,35093,land
35092,35095,land
35093,35096,land
35093,35097,land
35094,35095,land
35094,35096,land
35094,35097,land
35095,35097,land
35096,35097,land
35098,35099,land
35099,35121,land
35100,35105,land
35100,35109,land
35100,35110,land
35100,35112,land
35103,35104,land
35105,35122,land
35106,35113,land
35106,35117,land
35106,35120,land
35107,35108,land
35109,35110,land
35109,35112,land
35110,35112,land
35111,35112,land
35117,35120,land
35118,35119,land
35120,35122,land
46001,46005,land
46001,46007,land
46001,47012,land
46002,46006,land
46002,46007,land
46002,46009,land
46002,47003,land
46002,47014,land
46002,62001,land
46003,46004,land
46003,46006,land
46003,46008,land
46003,46010,land
46003,46011,land
46004,46006,land
46004,46009,land
46004,46011,land
46004,46014,land
46005,46006,land
46005,46007,land
46005,46009,land
46005,46012,land
46005,46013,land
46005,46014,land
46006,46008,land
46006,46009,land
46006,46012,land
46007,46009,land
46007,47012,land
46007,47014,land
46008,46010,land
46008,46012,land
46008,46013,land
46009,46014,land
46010,46011,land
46010,46013,land
46010,46014,land
46011,46014,land
46012,46013,land
46013,46014,land
47001,47002,land
47001,47003,land
47001,47005,land
47001,47013,land
47001,48002,land
47001,48025,land
47001,48027,land
47002,47004,land
47002,47005,land
47002,47009,land
47002,47010,land
47002,47011,land
47002,47013,land
47002,47014,land
47003,47005,land
47003,47014,land
47003,48025,land
47003,61001,land
47004,47006,land
47004,47007,land
47004,47008,land
47004,47012,land
47004,47013,land
47004,47014,land
47005,47014,land
47006,47007,land
47006,47008,land
47007,47008,land
47007,47012,land
47007,47014,land
47009,47010,land
47009,47011,land
47010,47011,land
47012,47013,land
47012,47014,land
47013,48002,land
47013,48030,land
48001,48003,land
48001,48006,land
48001,48014,land
48001,48037,land
48002,48003,land
48002,48027,land
48002,48028,land
48002,48030,land
48002,48033,land
48002,48034,land
48002,48035,land
48002,48037,land
48003,48007,land
48003,48009,land
48003,48012,land
48003,48014,land
48003,48024,land
48003,48029,land
48003,48030,land
48003,48037,land
48004,48005,land
48004,48007,land
48004,48008,land
48004,48010,land
48004,48013,land
48005,48006,land
48005,48007,land
48005,48009,land
48005,48011,land
48005,48013,land
48006,48011,land
48006,48013,land
48006,48014,land
48006,48037,land
48007,48009,land
48007,48010,land
48007,48012,land
48008,48010,land
48008,48013,land
48008,48024,land
48009,48011,land
48009,48014,land
48010,48012,land
48010,48024,land
48011,48014,land
48012,48024,land
48013,48024,land
48013,48037,land
48015,48017,land
48015,48019,land
48015,48022,land
48015,48023,land
48016,48020,land
48016,48021,land
48016,48022,land
48016,48028,land
48017,48018,land
48017,48019,land
48017,48022,land
48017,48035,land
48018,48019,land
48018,48035,land
48018,48036,land
48019,48023,land
48019,48031,land
48019,48036,land
48020,48022,land
48020,48023,land
48020,48028,land
48020,48031,land
48021,48022,land
48021,48028,land
48021,48035,land
48022,48023,land
48022,48035,land
48023,48031,land
48024,48029,land
48024,48030,land
48024,48037,land
48024,59007,land
48025,48027,land
48025,48032,land
48025,61001,land
48026,48032,land
48026,48037,land
48026,59026,land
48027,48032,land
48027,48035,land
48027,48036,land
48028,48031,land
48028,48033,land
48028,48035,land
48028,48037,land
48029,48030,land
48031,48032,land
48031,48036,land
48031,48037,land
48032,48036,land
48032,48037,land
48032,59026,land
48032,61001,land
48033,48034,land
48033,48037,land
48035,48036,land
48037,59007,land
48037,59014,land
48037,59026,land
59001,59006,land
59001,59017,land
59001,59018,land
59001,59032,land
59002,59003,land
59002,59020,land
59002,59025,land
59002,59036,land
59002,59037,land
59002,59039,land
59003,59008,land
59003,59022,land
59003,59025,land
59003,59036,land
59004,59015,land
59004,59021,land
59004,59026,land
59004,59031,land
59005,59015,land
59005,59018,land
59005,59030,land
59006,59013,land
59006,59017,land
59006,59032,land
59006,59034,land
59007,59014,land
59007,59030,land
59007,59041,land
59008,59017,land
59008,59022,land
59008,59024,land
59008,59025,land
59008,59043,land
59009,59010,land
59009,59019,land
59009,59021,land
59009,59043,land
59010,59012,land
59010,59019,land
59010,59029,land
59011,59020,land
59011,59028,land
59011,59032,land
59011,59033,land
59011,59034,land
59011,59043,land
59012,59029,land
59012,59042,land
59013,59017,land
59013,59033,land
59013,59034,land
59014,59015,land
59014,59026,land
59014,59041,land
59015,59018,land
59015,59021,land
59015,59023,land
59015,59026,land
59015,59030,land
59015,59041,land
59015,59043,land
59016,59023,land
59016,59030,land
59016,59041,land
59017,59018,land
59017,59024,land
59017,59025,land
59017,59033,land
59018,59024,land
59018,59043,land
59019,59029,land
59019,59043,land
59020,59025,land
59020,59028,land
59020,59033,land
59020,59037,land
59021,59031,land
59021,59043,land
59022,59035,land
59022,59036,land
59022,59043,land
59023,59030,land
59023,59041,land
59024,59043,land
59025,59033,land
59026,59031,land
59026,60001,land
59026,61001,land
59027,59028,land
59027,59038,land
59027,59040,land
59027,59043,land
59028,59037,land
59028,59038,land
59028,59043,land
59029,59042,land
59029,59043,land
59030,59041,land
59031,60001,land
59032,59034,land
59033,59034,land
59035,59036,land
59035,59038,land
59035,59040,land
59035,59043,land
59036,59038,land
59036,59039,land
59037,59038,land
59037,59039,land
59038,59039,land
59038,59040,land
59040,59043,land
60001,61001,land
61001,62001,land
